
=== LR(1) Transition Table (1614 entries) ===
  State 42 --( AccessBase )--> State 79
  State 42 --( Identifier )--> State 80
  State 43 --( ) )--> State 96
  State 43 --( || )--> State 97
  State 44 --( + )--> State 98
  State 44 --( - )--> State 99
  State 45 --( * )--> State 100
  State 45 --( / )--> State 101
  State 47 --( Expr )--> State 102
  State 47 --( Eval )--> State 44
  State 47 --( Term )--> State 45
  State 47 --( Factor )--> State 46
  State 47 --( ( )--> State 47
  State 47 --( integer )--> State 48
  State 47 --( floating )--> State 49
  State 47 --( name )--> State 50
  State 47 --( litstring )--> State 51
  State 47 --( true )--> State 52
  State 47 --( false )--> State 53
  State 47 --( Access )--> State 54
  State 47 --( AccessBase )--> State 55
  State 47 --( Identifier )--> State 56
  State 47 --( Relation )--> State 57
  State 47 --( LogAnd )--> State 58
  State 54 --( ( )--> State 103
  State 54 --( [ )--> State 104
  State 54 --( . )--> State 105
  State 57 --( =? )--> State 84
  State 57 --( >= )--> State 85
  State 57 --( <= )--> State 86
  State 57 --( > )--> State 87
  State 57 --( < )--> State 88
  State 57 --( RelOp )--> State 106
  State 58 --( && )--> State 107
  State 59 --( Expr )--> State 108
  State 59 --( Eval )--> State 109
  State 59 --( Term )--> State 110
  State 59 --( Factor )--> State 111
  State 59 --( ( )--> State 112
  State 59 --( integer )--> State 113
  State 59 --( floating )--> State 114
  State 59 --( name )--> State 115
  State 59 --( litstring )--> State 116
  State 59 --( true )--> State 117
  State 59 --( false )--> State 118
  State 59 --( Access )--> State 119
  State 59 --( AccessBase )--> State 120
  State 59 --( Args )--> State 121
  State 59 --( ArgList )--> State 122
  State 59 --( Identifier )--> State 123
  State 59 --( Relation )--> State 124
  State 59 --( LogAnd )--> State 125
  State 60 --( Expr )--> State 126
  State 60 --( Eval )--> State 127
  State 60 --( Term )--> State 128
  State 60 --( Factor )--> State 129
  State 60 --( ( )--> State 130
  State 60 --( integer )--> State 131
  State 60 --( floating )--> State 132
  State 60 --( name )--> State 133
  State 60 --( litstring )--> State 134
  State 60 --( true )--> State 135
  State 60 --( false )--> State 136
  State 60 --( Access )--> State 137
  State 60 --( AccessBase )--> State 138
  State 60 --( Identifier )--> State 139
  State 60 --( Relation )--> State 140
  State 60 --( LogAnd )--> State 141
  State 61 --( name )--> State 8
  State 61 --( Identifier )--> State 142
  State 62 --( Expr )--> State 143
  State 62 --( Eval )--> State 2
  State 62 --( Term )--> State 3
  State 62 --( Factor )--> State 4
  State 62 --( ( )--> State 76
  State 62 --( integer )--> State 6
  State 62 --( floating )--> State 7
  State 62 --( name )--> State 77
  State 62 --( litstring )--> State 9
  State 62 --( true )--> State 10
  State 62 --( false )--> State 11
  State 62 --( Access )--> State 78
  State 62 --( AccessBase )--> State 79
  State 62 --( Identifier )--> State 80
  State 62 --( Relation )--> State 36
  State 62 --( LogAnd )--> State 37
  State 63 --( Expr )--> State 144
  State 63 --( Eval )--> State 44
  State 63 --( Term )--> State 45
  State 63 --( Factor )--> State 46
  State 63 --( ( )--> State 47
  State 63 --( integer )--> State 48
  State 63 --( floating )--> State 49
  State 63 --( name )--> State 50
  State 63 --( litstring )--> State 51
  State 63 --( true )--> State 52
  State 63 --( false )--> State 53
  State 63 --( Access )--> State 54
  State 63 --( AccessBase )--> State 55
  State 63 --( Identifier )--> State 56
  State 63 --( Relation )--> State 57
  State 63 --( LogAnd )--> State 58
  State 64 --( Expr )--> State 145
  State 64 --( Eval )--> State 44
  State 64 --( Term )--> State 45
  State 64 --( Factor )--> State 46
  State 64 --( ( )--> State 47
  State 64 --( integer )--> State 48
  State 64 --( floating )--> State 49
  State 64 --( name )--> State 50
  State 64 --( litstring )--> State 51
  State 64 --( true )--> State 52
  State 64 --( false )--> State 53
  State 64 --( Access )--> State 54
  State 64 --( AccessBase )--> State 55
  State 64 --( Identifier )--> State 56
  State 64 --( Relation )--> State 57
  State 64 --( LogAnd )--> State 58
  State 65 --( Expr )--> State 1
  State 65 --( Eval )--> State 2
  State 65 --( Term )--> State 3
  State 65 --( Factor )--> State 4
  State 65 --( ( )--> State 5
  State 65 --( integer )--> State 6
  State 65 --( floating )--> State 7
  State 65 --( name )--> State 8
  State 65 --( litstring )--> State 9
  State 65 --( true )--> State 10
  State 65 --( false )--> State 11
  State 65 --( Access )--> State 12
  State 65 --( AccessBase )--> State 13
  State 65 --( init )--> State 17
  State 65 --( Stat )--> State 146
  State 65 --( Declaration )--> State 31
  State 65 --( Assignment )--> State 33
  State 65 --( Identifier )--> State 35
  State 65 --( Relation )--> State 36
  State 65 --( LogAnd )--> State 37
  State 71 --( name )--> State 147
  State 71 --( [ )--> State 148
  State 71 --( Identifier )--> State 149
  State 74 --( ( )--> State 150
  State 75 --( || )--> State 38
  State 76 --( Expr )--> State 151
  State 76 --( Eval )--> State 44
  State 76 --( Term )--> State 45
  State 76 --( Factor )--> State 46
  State 76 --( ( )--> State 47
  State 76 --( integer )--> State 48
  State 76 --( floating )--> State 49
  State 76 --( name )--> State 50
  State 76 --( litstring )--> State 51
  State 76 --( true )--> State 52
  State 76 --( false )--> State 53
  State 76 --( Access )--> State 54
  State 76 --( AccessBase )--> State 55
  State 76 --( Identifier )--> State 56
  State 76 --( Relation )--> State 57
  State 76 --( LogAnd )--> State 58
  State 78 --( ( )--> State 152
  State 78 --( [ )--> State 153
  State 78 --( . )--> State 154
  State 89 --( Eval )--> State 155
  State 89 --( Term )--> State 3
  State 89 --( Factor )--> State 4
  State 89 --( ( )--> State 76
  State 89 --( integer )--> State 6
  State 89 --( floating )--> State 7
  State 89 --( name )--> State 77
  State 89 --( litstring )--> State 9
  State 89 --( true )--> State 10
  State 89 --( false )--> State 11
  State 89 --( Access )--> State 78
  State 89 --( AccessBase )--> State 79
  State 89 --( Identifier )--> State 80
  State 90 --( Eval )--> State 2
  State 90 --( Term )--> State 3
