
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T0   | T11  | T13  | T14  | T15  | T27  | T28  | T29  | T35  | T37  | T38  | T39  | T40  | T41  | T54  | T55  | T25  | T7   | T8   | T9   | T10  | T16  | T18  | T46  | T49  | T50  | T51  | T52  | T53  | T44  | T20  | T21  | T22  | T23  | T24  | T26  | T12  | T19  | T17  | T45  | T42  | T56  | T47  | T36  | T48  | T43  | NT2  | NT3  | NT4  | NT5  | NT6  | NT30 | NT31 | NT57 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT65 | NT66 | NT67 | NT68 | NT69 | NT72 | NT76 | NT81 | NT82 | NT70 | NT71 | NT32 | NT33 | NT34 | NT73 | NT74 | NT75 | NT58 | NT78 | NT80 | NT79 | NT77 |
33    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r12  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
34    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s83  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
35    |      |      | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      | r73  | r73  | r73  | r73  | r73  | r73  | r73  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
36    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r53  |      |      |      |      |      |      |      |      |      |      |      |      | r53  | s84  | s85  | s86  | s87  | s88  | r53  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 89   |      |      |      |      |      |      |      |      |      |      |
37    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      |      |      |      |      |      |      |      | r51  |      |      |      |      |      | s90  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
38    |      |      | s76  | s6   | s7   | s77  | s9   | s10  | s11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 2    | 3    | 4    | 78   | 79   |      |      |      |      |      |      |      |      |      |      |      |      |      | 80   | 36   | 91   |      |      |      |      |      |      |      |      |      |      |      |      |      |
39    |      |      | s76  | s6   | s7   | s77  | s9   | s10  | s11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 92   | 4    | 78   | 79   |      |      |      |      |      |      |      |      |      |      |      |      |      | 80   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
40    |      |      | s76  | s6   | s7   | s77  | s9   | s10  | s11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 93   | 4    | 78   | 79   |      |      |      |      |      |      |      |      |      |      |      |      |      | 80   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
41    |      |      | s76  | s6   | s7   | s77  | s9   | s10  | s11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 94   | 78   | 79   |      |      |      |      |      |      |      |      |      |      |      |      |      | 80   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
42    |      |      | s76  | s6   | s7   | s77  | s9   | s10  | s11  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 95   | 78   | 79   |      |      |      |      |      |      |      |      |      |      |      |      |      | 80   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
43    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s97  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s96  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
44    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | r55  | s98  | s99  |      |      |      |      |      |      |      |      |      |      |      | r55  | r55  | r55  | r55  | r55  | r55  | r55  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
